CIVILSTAND;TID;INDHOLD
G Gift/separeret;2008K1 2008K1;2176977
G Gift/separeret;2009K1 2009K1;2188259
G Gift/separeret;2010K1 2010K1;2189368
G Gift/separeret;2011K1 2011K1;2187702
G Gift/separeret;2012K1 2012K1;2178131
G Gift/separeret;2013K1 2013K1;2169369
G Gift/separeret;2014K1 2014K1;2154621
G Gift/separeret;2015K1 2015K1;2143625
G Gift/separeret;2016K1 2016K1;2142540
G Gift/separeret;2017K1 2017K1;2140830
G Gift/separeret;2018K1 2018K1;2141429
G Gift/separeret;2019K1 2019K1;2141704
G Gift/separeret;2020K1 2020K1;2146017
